code	desc
@ override public int run command ( boolean merge error into output , string ... commands ) throws io , interrupted exception { return run command ( merge error into output , new array list < string > ( arrays . as list ( commands ) ) ) ; }	runs a command on the command line synchronously .
private int find plv ( int m id ) { timestamp price date = null ; string date str = env . get context ( env . get ctx ( ) , p , str ) ; if ( date str != null && date str . length ( ) > num ) price date = env . get context as date ( env . get ctx ( ) , p , str ) ; else { date str = env . get context ( env . get ctx ( ) , p , str ) ; if ( date str != null && date str . length ( ) > num ) price date = env . get context as date ( env . get ctx ( ) , p , str ) ; } if ( price date == null ) price date = new timestamp ( system . current time millis ( ) ) ; log . config ( str + m id + str + price date ) ; int ret value = num ; string sql = str + str + str + str + str + str ; try { prepared statement pstmt = db . prepare statement ( sql , null ) ; pstmt . set int ( num , m id ) ; result set rs = pstmt . execute query ( ) ; while ( rs . next ( ) && ret value == num ) { timestamp pl date = rs . get timestamp ( num ) ; if ( ! price date . before ( pl date ) ) ret value = rs . get int ( num ) ; } rs . close ( ) ; pstmt . close ( ) ; } catch ( sql e ) { log . log ( level . severe , sql , e ) ; } env . set context ( env . get ctx ( ) , p , str , ret value ) ; return ret value ; }	find price list version and update context.
public static boolean memory is low ( ) { return available memory ( ) * num < runtime . total memory ( ) * num ; }	returns true if less then 5 % of the available memory is free .
public string describe attributes ( ) { string builder sb = new string builder ( ) ; sb . append ( str ) ; boolean first = bool ; for ( object key : attributes . key set ( ) ) { if ( first ) { first = bool ; } else { sb . append ( str ) ; } sb . append ( key ) ; sb . append ( str ) ; sb . append ( attributes . get ( key ) ) ; } sb . append ( str ) ; return sb . to string ( ) ; }	returns a string representation of the object ' s current attributes.
public static byte [ ] next bytes ( byte [ ] buffer ) { s random . next bytes ( buffer ) ; return buffer ; }	fill the given buffer with random bytes .
public void remove all from damaged ( final collection < unit > damaged units ) { for ( final unit u : damaged units ) { while ( m damaged . contains ( u ) ) { m damaged . remove ( u ) ; } } }	can have multiple of the same unit , to show multiple hits to that unit .
private i [ ] compute children ( array list names without extension ) { int size = names without extension . size ( ) ; if ( size == num ) return no elements ; i [ ] children = new i [ size ] ; for ( int i = num ; i < size ; i ++ ) { string name without extension = ( string ) names without extension . get ( i ) ; children [ i ] = new class file ( this , manager , name without extension ) ; } return children ; }	compute the children of this package fragment.
public object [ ] to array ( ) { object [ ] result = new object [ size ] ; system . arraycopy ( element data , num , result , num , size ) ; return result ; }	returns an array containing all of the elements in this list in the correct order .
@ override protected void on delete complete ( int token , object cookie , int result ) { if ( token == m delete token ) { synchronized ( s deleting threads lock ) { s deleting threads = bool ; if ( deletedebug ) { log . v ( tag , str + s deleting threads ) ; } s deleting threads lock . notify all ( ) ; } unread badge service . update ( m context ) ; notification manager . create ( m context ) ; } }	always call this super method from your overridden ondeletecomplete function .
private static i create new launch configuration ( i project ) throws core exception , operation canceled exception { string initial name = calculate launch config name ( project ) ; i launch config = gwt super dev mode code server launch util . create launch config ( initial name , project ) ; return launch config ; }	create a new launch configuration .
