code	desc
@ override public int runcommand ( boolean mergeerrorintooutput , string ... commands ) throws ioexception , interruptedexception { return runcommand ( mergeerrorintooutput , new arraylist < string > ( arrays . aslist ( commands ) ) ) ; }	runs a command on the command line synchronously .
private int findplv ( int m_pricelist_id ) { timestamp pricedate = null ; string datestr = env . getcontext ( env . getctx ( ) , p_windowno , _str ) ; if ( datestr != null && datestr . length ( ) > _num ) pricedate = env . getcontextasdate ( env . getctx ( ) , p_windowno , _str ) ; else { datestr = env . getcontext ( env . getctx ( ) , p_windowno , _str ) ; if ( datestr != null && datestr . length ( ) > _num ) pricedate = env . getcontextasdate ( env . getctx ( ) , p_windowno , _str ) ; } if ( pricedate == null ) pricedate = new timestamp ( system . currenttimemillis ( ) ) ; log . config ( _str + m_pricelist_id + _str + pricedate ) ; int retvalue = _num ; string sql = _str + _str + _str + _str + _str + _str ; try { preparedstatement pstmt = db . preparestatement ( sql , null ) ; pstmt . setint ( _num , m_pricelist_id ) ; resultset rs = pstmt . executequery ( ) ; while ( rs . next ( ) && retvalue == _num ) { timestamp pldate = rs . gettimestamp ( _num ) ; if ( ! pricedate . before ( pldate ) ) retvalue = rs . getint ( _num ) ; } rs . close ( ) ; pstmt . close ( ) ; } catch ( sqlexception e ) { log . log ( level . severe , sql , e ) ; } env . setcontext ( env . getctx ( ) , p_windowno , _str , retvalue ) ; return retvalue ; }	find price list version and update context.
public static boolean memoryislow ( ) { return availablememory ( ) * _num < runtime . totalmemory ( ) * _num ; }	returns true if less then 5 % of the available memory is free .
public string describeattributes ( ) { stringbuilder sb = new stringbuilder ( ) ; sb . append ( _str ) ; boolean first = _bool ; for ( object key : attributes . keyset ( ) ) { if ( first ) { first = _bool ; } else { sb . append ( _str ) ; } sb . append ( key ) ; sb . append ( _str ) ; sb . append ( attributes . get ( key ) ) ; } sb . append ( _str ) ; return sb . tostring ( ) ; }	returns a string representation of the object ' s current attributes.
public static byte [ ] nextbytes ( byte [ ] buffer ) { srandom . nextbytes ( buffer ) ; return buffer ; }	fill the given buffer with random bytes .
public void removeallfromdamaged ( final collection < unit > damagedunits ) { for ( final unit u : damagedunits ) { while ( m_damaged . contains ( u ) ) { m_damaged . remove ( u ) ; } } }	can have multiple of the same unit , to show multiple hits to that unit .
private ijavaelement [ ] computechildren ( arraylist nameswithoutextension ) { int size = nameswithoutextension . size ( ) ; if ( size == _num ) return no_elements ; ijavaelement [ ] children = new ijavaelement [ size ] ; for ( int i = _num ; i < size ; i ++ ) { string namewithoutextension = ( string ) nameswithoutextension . get ( i ) ; children [ i ] = new classfile ( this , manager , namewithoutextension ) ; } return children ; }	compute the children of this package fragment.
public object [ ] toarray ( ) { object [ ] result = new object [ size ] ; system . arraycopy ( elementdata , _num , result , _num , size ) ; return result ; }	returns an array containing all of the elements in this list in the correct order .
@ override protected void ondeletecomplete ( int token , object cookie , int result ) { if ( token == mdeletetoken ) { synchronized ( sdeletingthreadslock ) { sdeletingthreads = _bool ; if ( deletedebug ) { log . v ( tag , _str + sdeletingthreads ) ; } sdeletingthreadslock . notifyall ( ) ; } unreadbadgeservice . update ( mcontext ) ; notificationmanager . create ( mcontext ) ; } }	always call this super method from your overridden ondeletecomplete function .
private static ilaunchconfiguration createnewlaunchconfiguration ( iproject project ) throws coreexception , operationcanceledexception { string initialname = calculatelaunchconfigname ( project ) ; ilaunchconfiguration launchconfig = gwtsuperdevmodecodeserverlaunchutil . createlaunchconfig ( initialname , project ) ; return launchconfig ; }	create a new launch configuration .
